folioviv,foliohog,est_socio,leche,huevo,pescado,p_leche,p_huevo
100590702,1,3,282.84,0,0,18.72,28.5
100590703,1,3,0,0,0,18.72,28.5
100590704,1,3,1028.56,964.28,1298.57,18.72,28.5
100590705,1,3,1388.56,0,0,18.72,28.5
100592203,1,3,899.98,0,0,18.72,28.5
100592204,1,3,3368.52,308.57,0,18.72,28.5
100592205,1,3,2442.82,0,0,18.72,28.5
100592206,1,3,347.14,0,0,18.72,28.5
100595601,1,2,591.42,0,0,18.72,28.5
100595602,1,2,1877.11,636.4,0,18.72,28.5
100595604,1,2,1645.7,359.99,0,18.72,28.5
100595605,1,2,1555.69,359.99,0,18.72,28.5
100595606,1,2,1607.11,707.13,0,18.72,28.5
100613601,1,4,321.42,0,0,18.72,28.5
100613602,1,4,0,0,0,18.72,28.5
100613603,1,4,0,0,0,18.72,28.5
100613604,1,4,0,771.42,0,18.72,28.5
100613605,1,4,1067.14,411.42,1028.57,18.72,28.5
100620701,1,4,0,0,0,18.72,28.5
100620704,1,4,1619.94,0,0,18.72,28.5
100620705,1,4,1015.69,1259.99,0,18.72,28.5
100620706,1,4,1825.69,179.99,0,18.72,28.5
100621201,1,4,1491.41,359.99,0,18.72,28.5
100621202,1,4,2057.1,0,0,18.72,28.5
100621203,1,4,3374.96,539.99,0,18.72,28.5
100621205,1,4,1285.68,0,0,18.72,28.5
100628501,1,3,1671.4,0,0,18.72,28.5
100628502,1,3,1311.39,0,0,18.72,28.5
100628503,1,3,1510.66,0,366.42,18.72,28.5
100628504,1,3,3548.54,0,0,18.72,28.5
100628505,1,3,1420.69,257.14,0,18.72,28.5
100628506,1,3,1337.13,0,347.14,18.72,28.5
100638301,1,3,668.56,0,0,18.72,28.5
100638302,1,3,0,784.26,0,18.72,28.5
100638305,1,3,295.71,0,0,18.72,28.5
100638306,1,3,2834.99,282.85,0,18.72,28.5
100639901,1,3,0,0,0,18.72,28.5
100639902,1,3,437.14,411.42,0,18.72,28.5
100639903,1,3,0,0,0,18.72,28.5
100639904,1,3,1517.11,0,0,18.72,28.5
100639905,1,3,488.55,154.28,0,18.72,28.5
100639906,1,3,424.27,179.99,0,18.72,28.5
100644801,1,3,719.99,359.98,205.71,18.72,28.5
100644802,1,3,437.14,591.42,668.57,18.72,28.5
100644803,1,3,0,359.99,0,18.72,28.5
100644804,1,3,835.7,887.13,0,18.72,28.5
100644805,1,3,0,0,0,18.72,28.5
100644806,1,3,3407.13,0,0,18.72,28.5
100656401,1,3,128.57,0,0,18.72,28.5
100656402,1,3,1214.95,1079.95,0,18.72,28.5
100656403,1,3,1537.68,642.85,0,18.72,28.5
100656404,1,3,1072.25,0,0,18.72,28.5
100656405,1,3,257.14,0,0,18.72,28.5
100656405,2,3,758.55,604.27,0,18.72,28.5
100656406,1,3,2057.11,0,0,18.72,28.5
100662501,1,4,1362.83,372.85,1414.28,18.72,28.5
